PID,SMILES,HOMO,LUMO,S1,T1,TADF-likeness
18133976,O=S1(=O)CCC(N(Cc2ccco2)Cc2cccc3ccccc23)C1,-5.892897546428,-1.168456874047,4.2762,2.6866,59.64401626586914
109157479,Cc1cccc(Nc2ccc(C(=O)NCc3ccc4c(c3)OCO4)cn2)c1,-5.430848228279,-0.983963683408,4.0692,3.0663,57.79471969604492
20730186,COc1ccc(C(C)(C)c2ccc(C(=O)Oc3ccc(C(C)(CCO)c4ccc(OC(C)=O)cc4)cc3)cc2)cc1,-5.824324856102001,-1.2993436361375001,4.0306,3.3675,57.32151794433594
110469173,Cn1cnc2ccc(C(=O)n3cnc4ccccc43)cc21,-6.2392984781145,-1.680575140688,3.9743,3.1841,59.50117492675781
135011719,CC(=O)N(CO)c1c2ccccc2cc2ccccc12,-5.5709868612865,-2.0857526640825,3.1626,1.7444,59.41236877441406
101739784,Cc1c(C[C@H]2C(=O)c3ccccc3O[C@@H]2c2ccccc2)c(=O)nc2sccn12,-5.899972506541,-1.459618694082,3.7115,3.1025,57.26282501220703
121424998,c1ccc(C2(c3ccccc3)c3ccccc3-c3cc(N(c4ccc(-c5ccc(-c6cccc7c6sc6ccccc67)cc5)cc4)c4ccc(-c5ccc6c(c5)oc5ccccc56)cc4)ccc32)cc1,-4.8917906904385005,-1.2492746876455,3.2114,2.6327,75.80445861816406
156485365,N#Cc1cccc(-c2cc(-c3ccccc3)nc(-c3cc4ccc5ccccc5c4c4c3sc3ccccc34)n2)c1,-5.4817335183225,-2.0928276241955004,2.9135,2.3493,79.96846008300781
140756988,C[Si]1(C)c2cc(N(c3ccccc3)c3cccc4c3oc3ccccc34)ccc2-c2ccc(-c3ccc(N(c4ccccc4)c4cccc5c4oc4ccccc45)cc3)c3cccc1c23,-4.7905643380525005,-1.4149920226,2.9485,2.173,78.0740737915039
133065682,C1=Cc2c(ccc3c2ccc2ccccc23)/C1=C\c1ccccc1,-5.3233632573315,-1.7480593756120002,2.9718,2.0332,78.93135070800781
141739669,C1=C(c2ccc(-c3ccncc3)cc2)CC(c2ccccc2)=C1c1ccccc1,-5.1655372240415005,-1.7826178346255,3.0877,1.7797,79.93394470214844
121287218,c1nc2ccc(-c3ccc4c(ccc5cc(-c6ccc7ncsc7c6)ccc54)c3)cc2s1,-5.753031027271,-1.6378532661595,3.6402,2.5847,79.8741683959961
118333330,c1ccc(-c2ccc(N(c3ccc(-c4cccc5c4oc4ccccc45)cc3)c3ccc4c5ccccc5n(-c5ccc6sc7ccccc7c6c5)c4c3)cc2)cc1,-4.753284740534,-1.2013826499575,3.1684,2.6592,78.08438110351562
153288616,c1ccc2c(-c3nc4c(ccc5ccccc54)[nH]3)nccc2c1,-5.3206421188265,-1.857449143513,3.1354,2.2296,75.04324340820312
130440835,c1cc(-c2ccc3sc(-c4ccc5ncccc5c4)nc3c2)cc(-c2ccc3sc(-c4ccc5ncccc5c4)nc3c2)c1,-5.9127618575145,-2.0150030629525,3.5229,2.4351,77.60281372070312
54415322,Cc1ccc(Oc2ccc(C3(c4ccc(Oc5ccc(C)cc5)cc4)NC(=O)c4ccccc43)cc2)cc1,-5.8376584347765,-0.9670926246770001,4.3237,3.5469,75.83807373046875
154935777,C=C(C=CC(=C)N(C1=CC2Sc3ccccc3C2C=C1)c1cccc(-c2ccc3ccc4ccccc4c3c2)c1)C(=C)C=Cc1ccc2ccccc2c1,-4.9815882611035,-1.56193350187,2.9888,1.9167,79.521728515625
57923146,FC(F)(F)c1ccc(-c2ccc3c(c2)c2cc(-c4ccc5c(-c6ccccc6)c6cc(-c7ccc8c(c7)c7cc(-c9ccc(C(F)(F)F)cc9)ccc7n8-c7ccccc7)ccc6c(-c6ccccc6)c5c4)ccc2n3-c2ccccc2)cc1,-4.907845407618,-1.7235691290669999,2.8413,1.6499,77.95856475830078
66829966,Cc1nc2ccccc2n1-c1ncccc1CC(c1cccnc1)c1cccnc1,-5.904326328149001,-1.217437367137,4.0823,3.4621,76.84089660644531
158335385,COc1cc(C)cc(N(CCO[Si](C)(C)C(C)(C)C)c2ccc3ncn(-c4ccccc4)c(=O)c3c2)c1,-4.9886632212165,-0.9896780742685,3.4898,2.7452,76.62699127197266
88568912,c1ccc2c(-c3ccc(-c4c5ccccc5c(-c5ccc(-c6ccc7oc8ccc9ccccc9c8c7c6)cc5)c5ccccc45)cc3)cccc2c1,-5.116828844802001,-1.64900993403,3.1214,1.7275,77.54507446289062
140711325,c1csc(Cn2c3ccccc3c3cc(-c4nccc5c6ccccc6n(Cc6cccs6)c45)ncc32)c1,-5.1916601536895,-1.1290003657245,3.548,2.8117,79.10595703125
